Trade ID,Client,Region,Trade Date,Trade Status,Instruction ID,Instruction Submission Time (hrs),SLA Breach,Report Type,Report Download Date
T0001,Alpha Capital,US,2025-06-01,Settled,INS0001,22,No,Standard,2025-06-02
T0002,Gamma Holdings,Europe,2025-06-02,Failed,INS0002,51,Yes,Custom,2025-06-03
T0003,Delta Funds,APAC,2025-06-02,Pending,INS0003,48,No,Standard,2025-06-03
T0004,Beta Investments,India,2025-06-03,Settled,INS0004,12,No,Custom,2025-06-03
T0005,Alpha Capital,US,2025-06-03,Settled,INS0005,67,Yes,Standard,2025-06-04
T0006,Gamma Holdings,Europe,2025-06-04,Failed,INS0006,36,No,Custom,2025-06-05
T0007,Delta Funds,India,2025-06-04,Settled,INS0007,44,No,Standard,2025-06-05
T0008,Alpha Capital,APAC,2025-06-05,Pending,INS0008,73,Yes,Custom,2025-06-06
T0009,Beta Investments,US,2025-06-06,Settled,INS0009,22,No,Standard,2025-06-07
T0010,Gamma Holdings,Europe,2025-06-06,Failed,INS0010,64,Yes,Standard,2025-06-08
T0011,Delta Funds,India,2025-06-07,Settled,INS0011,14,No,Custom,2025-06-07
T0012,Alpha Capital,APAC,2025-06-08,Settled,INS0012,32,No,Standard,2025-06-09
T0013,Beta Investments,US,2025-06-09,Pending,INS0013,55,Yes,Custom,2025-06-10
T0014,Gamma Holdings,Europe,2025-06-10,Settled,INS0014,19,No,Standard,2025-06-11
T0015,Delta Funds,APAC,2025-06-10,Settled,INS0015,41,No,Custom,2025-06-11
T0016,Alpha Capital,India,2025-06-11,Settled,INS0016,38,No,Standard,2025-06-12
T0017,Beta Investments,US,2025-06-12,Failed,INS0017,69,Yes,Custom,2025-06-14
T0018,Gamma Holdings,Europe,2025-06-13,Settled,INS0018,23,No,Standard,2025-06-14
T0019,Delta Funds,India,2025-06-13,Pending,INS0019,52,Yes,Custom,2025-06-14
T0020,Alpha Capital,APAC,2025-06-14,Settled,INS0020,28,No,Standard,2025-06-15
T0021,Beta Investments,US,2025-06-15,Settled,INS0021,34,No,Custom,2025-06-16
T0022,Gamma Holdings,Europe,2025-06-16,Settled,INS0022,20,No,Standard,2025-06-17
T0023,Delta Funds,APAC,2025-06-17,Settled,INS0023,18,No,Standard,2025-06-18
T0024,Alpha Capital,India,2025-06-18,Pending,INS0024,62,Yes,Custom,2025-06-19
T0025,Beta Investments,US,2025-06-19,Settled,INS0025,15,No,Standard,2025-06-20
T0026,Gamma Holdings,Europe,2025-06-20,Settled,INS0026,30,No,Custom,2025-06-21
T0027,Delta Funds,India,2025-06-21,Failed,INS0027,59,Yes,Standard,2025-06-22
T0028,Alpha Capital,APAC,2025-06-22,Settled,INS0028,37,No,Custom,2025-06-23
T0029,Beta Investments,US,2025-06-23,Pending,INS0029,47,No,Standard,2025-06-24
T0030,Gamma Holdings,Europe,2025-06-24,Settled,INS0030,10,No,Custom,2025-06-25
T0031,Delta Funds,APAC,2025-06-25,Settled,INS0031,53,Yes,Standard,2025-06-26
T0032,Alpha Capital,India,2025-06-26,Settled,INS0032,39,No,Custom,2025-06-27
T0033,Beta Investments,US,2025-06-27,Settled,INS0033,27,No,Standard,2025-06-28
T0034,Gamma Holdings,Europe,2025-06-28,Failed,INS0034,60,Yes,Custom,2025-06-29
T0035,Delta Funds,India,2025-06-29,Settled,INS0035,14,No,Standard,2025-06-30
T0036,Alpha Capital,APAC,2025-06-30,Settled,INS0036,35,No,Custom,2025-07-01
T0037,Beta Investments,US,2025-07-01,Pending,INS0037,61,Yes,Standard,2025-07-02
T0038,Gamma Holdings,Europe,2025-07-02,Settled,INS0038,33,No,Custom,2025-07-03
T0039,Delta Funds,APAC,2025-07-03,Failed,INS0039,56,Yes,Standard,2025-07-04
T0040,Alpha Capital,India,2025-07-04,Settled,INS0040,17,No,Custom,2025-07-05
T0041,Beta Investments,US,2025-07-05,Settled,INS0041,13,No,Standard,2025-07-06
T0042,Gamma Holdings,Europe,2025-07-06,Settled,INS0042,45,No,Custom,2025-07-07
T0043,Delta Funds,APAC,2025-07-07,Pending,INS0043,70,Yes,Standard,2025-07-08
T0044,Alpha Capital,India,2025-07-08,Settled,INS0044,21,No,Custom,2025-07-09
T0045,Beta Investments,US,2025-07-09,Settled,INS0045,26,No,Standard,2025-07-10
T0046,Gamma Holdings,Europe,2025-07-10,Failed,INS0046,50,Yes,Custom,2025-07-11
T0047,Delta Funds,India,2025-07-11,Settled,INS0047,31,No,Standard,2025-07-12
T0048,Alpha Capital,APAC,2025-07-12,Settled,INS0048,46,No,Custom,2025-07-13
T0049,Beta Investments,US,2025-07-13,Settled,INS0049,24,No,Standard,2025-07-14
T0050,Gamma Holdings,Europe,2025-07-14,Pending,INS0050,58,Yes,Custom,2025-07-15
